lambda_val,det_cost,makespan,mean_dur,p90_dur,p90_cost,overrun
0.0,806324.0,51,52.387589580425654,53.01795852354393,1460948.8758901402,0.9975
0.12,806324.0,51,52.39061560512334,53.05359073625103,1472068.5900497155,0.9975
0.25,806324.0,51,52.3679866176409,53.018173600640296,1466690.672783592,0.9985
0.38,806324.0,51,52.37841113667801,53.041540014007175,1480238.1967216833,0.998
0.5,806324.0,51,52.38772970897905,53.040824325864165,1464984.6744894213,0.999
0.62,806324.0,51,52.40331920451655,53.0793120493568,1485107.15484085,0.9995
0.75,806324.0,51,52.39130289385621,53.04714100182049,1464445.5874744097,0.998
0.88,806324.0,51,52.36072201095152,53.01339653605907,1457278.5142154237,0.9955
1.0,806324.0,51,52.39115220642089,53.03109048094352,1458363.2099049129,0.998
