metric,baseline,optimised,robust,opt_pct_change,rob_pct_change
mean_duration_d,52.37865093547842,52.38702592516503,52.38346574755454,0.0,0.0
p90_duration_d,53.0270583442455,53.030537554928436,53.03739632543692,0.0,0.0
mean_cost_usd,1354342.941929089,1235768.2426184053,1233570.2637782092,-8.8,-8.9
p90_cost_usd,1623075.0396688508,1467441.0468120312,1462818.9998482203,-9.6,-9.9
overrun_prob,0.981,0.9969,0.9961,1.6,1.5
mean_traffic_impact,592.0227679461757,434.621966229025,433.84642108779934,-26.6,-26.7
