percentile,baseline_cost_usd,optimised_cost_usd,robust_cost_usd,baseline_dur_days,optimised_dur_days,robust_dur_days
50,1237230.2363738632,1215607.7843924826,1217947.1283778297,53.20949269846649,52.34898427317209,52.35573302267801
75,1368612.2390114283,1337864.7519272757,1345019.6951380451,53.756007897674245,52.703659790558405,52.72066674118041
90,1507408.553846631,1460035.1345079243,1466554.5226694976,54.35215618706255,53.02299464297127,53.03518877949236
95,1617748.062129845,1564385.999659483,1567949.2697435478,54.75640818847649,53.19170766200538,53.203281974622804
99,1825345.136531383,1796348.6744470834,1793623.8606691188,55.57495903412574,53.55013341329257,53.53653698683386
mean,1261598.7737455994,1232140.9317368984,1236067.9343990711,53.324740233639055,52.383177077070116,52.392359429095166
std,192106.45447717104,184373.41649152988,186443.21045025004,0.7666051538462135,0.47264057126682435,0.4746071778177238
